productType,sku,prices,name,description,variantId,frameColor,lensColor,color,isNew,frameShape,frameMaterial,frameType,mirrorReflection,width,homeTryOn,polarized,options,gender,basePrice,images,categories
focali-product,11111-TS,USD 11000#singlevision;USD 9000#nonprescription,Awesome Beach Glasses,"Great to go to the beach, look great and feel awesome!",1,TORTOISE,SILVER,Tortoise/Silver,true,SQUARE,Acetate,BOTH,true,MEDIUM,false,true,SINGLEVISION,MEN,USD 25000;EUR 20300,https://i.warbyparker.com/-/f/men-jennings-sunglasses-beach-glass-front-1459-4c55976a/1000x500,Sunglasses;Summer 2015
,11111-BR,USD 11000#singlevision;USD 9000#nonprescription,,,2,BLACK,RED,Black/Red,,,,,,,,,,,,https://i.warbyparker.com/-/f/men-jennings-sunglasses-striped-beach-front-2375-fcfb25ef/1000x500,
,11111-GR,USD 11000#singlevision;USD 9000#nonprescription,,,3,GOLD,RED,Gold/Red,,,,,,,,,,,,https://i.warbyparker.com/-/f/men-jennings-sunglasses-whiskey-tortoise-front-1457-5eb82d4c/1000x500,
,11111-GG,USD 11000#singlevision;USD 9000#nonprescription,,,4,GREEN,GREEN,Green/Green,,,,,,,,,,,,https://i.warbyparker.com/-/f/men-downing-sunglasses-english-oak-front-2455-ae6d6b2f/1000x500,
focali-product,11112-TS,USD 8230#nonprescription,Sport Sunglasses,"Go jogging in a new style",1,TORTOISE,SILVER,Tortoise/Silver,,SQUARE,Acetate,SUNGLASS,true,NARROW,false,true,NONPRESCRIPTION,UNISEX,,http://www.eyekit.co/assets/images/Gill/9658_MATT-DARK-TORTOISE_Glare.jpg,Sunglasses
focali-product,11113-BR,USD 9500#nonprescription,Ray-Ban Justin RB,"Sie sind auf der Suche nach DER Marke für Brillen und Sonnenbrillen? Dann sind Sie hier zweifellos richtig. Ray-Ban ist beliebt wie kein anderes Eyewear-Label und führt auch weiterhin die Topseller-Listen der Welt an. Das wohl bekannteste Modell hört auf den Namen ""Aviator"" und wurde ursprünglich für die Piloten der US-Luftwaffe entworfen. Auch die ""Wayfarer"" und ""Clubmaster"" sind längst Kult und nicht mehr aus den Gesichtern von Brillenfans aus aller Welt wegzudenken. Die Korrektions- und Sonnenbrillen-Modelle des Kultlabels setzen immer wieder Trends. Langweilig wird es dabei nie: Jahr für Jahr wird das Sortiment um neue Formen und Farbvarianten erweitert. Der Mix aus Design, Funktionalität und Qualität bilden das Erfolgsrezept des Labels, zu dessen Anhängern etliche Stars gehören. Zeigen Sie, welches Starpotential in Ihnen steckt!",1,BLACK,RED,Black/Red,,ROUND,Plastic,SUNGLASS,true,WIDE,true,false,SINGLEVISION,MEN,USD 20000;EUR 18000,http://assets.ray-ban.com/is/image/RayBan/805289526599_shad_qt?$594$;http://mlb-s1-p.mlstatic.com/ray-ban-justin-polarizado-wayfarer-rb-4165-ccertiforiginal-20670-MLB20195741351_112014-O.ray-ban-justin-polarizado-wayfarer-rb-4165-ccertiforiginal-20670-MLB20195741351_112014-O,Sunglasses
,11113-BG,USD 10000#nonprescription,,,2,BLACK,GOLD,Black/Gold,true,,,,,,,,,,,http://www.sportrx.com/media/catalog/product/r/a/rayban_rb4165_rubberblack_rb4165-6018g-5116_1_1.png,
,11113-BU,USD 10000#nonprescription,,,3,BLACK,BLUE,Black/Blue,,,,,,,,,,,,http://www.otticanet.com/img/imgocchiali/23/img_art_JUSTIN_RB_4165_622_55.jpg,
focali-product,11114-B,USD 14000#nonprescription;USD 17500#singlevision,Vogue VO,"Sahne küsst Kaffee beim Modell VO 2557B 1345 von Vogue! Ein optischer Leckerbissen der Extraklasse! Rechteckige, eher schmal geschnittene Gläser bieten Ihnen hier vollen Durchblick. Breite, sich stark verjüngende Bügel liegen angenehm hinter den Ohren auf. Federscharniere sorgen hier wiederum für kinderleichtes Auf- und Absetzen der Brille. Der Clou: Das zweifarbige Gestell mit einer mokkaschwarzen Außenseite und einem cremeweißen Innenleben. Highlight hier: funkelnde Deko-Elemente aus Strass-Steinen an den Scharnieren. Eine feminine Brille, die besonders rundlicheren Gesichtern schmeicheln wird! Lassen Sie Ihre perfekt gerahmten Augen zum Sahnehäubchen dieses Ensembles werden!",1,BLACK,,Black,,RECTANGLE,Plastic,OPTICAL,false,NARROW,true,false,PROGRESSIVE,WOMEN,USD 200000,http://www.opticrange.com/admin/upload/VOGUE%20VO%202648%201076%20FRAME_1.jpg,Eyewear
,11114-BB,USD 14000#nonprescription;USD 17500#singlevision,,,2,BLUE,,Blue/Black,true,,,,,,,,,,USD 200000,http://www.opticrange.com/admin/upload/VOGUE%20VO%202689%20W44%20FRAME_1.jpg,
